,ParticipantID,SizeNetwork,SessionCode,RoundCode,Grade,Convergence,RT,Color1Count,Color2Count,Color3Count,Color4Count,toys1,toys2,toysnetwork
44,1,6,smt3x2oq,2,0,yes,23.096,6,0,0,0,2,4,3
45,1,6,mwzdrrir,2,0,no,0.0,5,1,0,0,1,2,3
46,1,6,tr7j8p5u,2,0,yes,27.508,0,6,0,0,2,3,3
47,1,6,udqawmho,2,0,no,0.0,1,5,0,0,2,4,3
48,1,6,bimhco1q,2,0,no,0.0,4,1,0,0,2,2,3
49,1,6,j8kl8j9f,2,0,no,0.0,5,1,0,0,1,2,3
50,1,6,emxl0g1y,3,2,yes,16.723,6,0,0,0,2,3,3
51,1,6,8uz9cuas,3,2,yes,9.311,6,0,0,0,2,4,4
52,1,6,s3mxv2mt,3,2,yes,7.121,6,0,0,0,2,4,4
53,1,6,wdt8k9cv,3,2,yes,8.192,6,0,0,0,2,4,4
54,1,6,73kurx3q,3,2,yes,7.154,0,6,0,0,2,4,3
55,1,6,hq3wc0gn,3,2,yes,7.67,6,0,0,0,2,4,3
56,1,6,esajw93t,3,2,yes,13.035,6,0,0,0,2,4,4
57,1,6,bb45y9nn,3,2,yes,8.447,6,0,0,0,2,4,4
58,1,6,bn8iy0dx,3,1,no,0.0,4,2,0,0,1,2,4
59,1,6,q32n8r51,3,1,yes,11.744,6,0,0,0,2,4,3
60,1,6,xoaxn8b5,3,1,yes,16.095,0,6,0,0,1,2,4
61,1,6,6nye0rx2,3,1,yes,10.291,6,0,0,0,2,4,4
62,1,6,1smtcyle,3,1,yes,14.506,0,6,0,0,2,4,4
63,1,6,6vas0mym,3,1,yes,10.625,0,6,0,0,2,4,3
64,1,6,xros1iar,3,1,yes,24.405,0,6,0,0,1,2,4
65,1,6,1gdrtht3,3,1,no,0.0,4,2,0,0,1,3,3
66,1,6,7c1iwaxh,3,0,yes,11.823,6,0,0,0,1,2,3
67,1,6,lefz84r6,3,0,yes,11.905,6,0,0,0,2,4,3
68,1,6,kr4oy9m9,3,0,yes,8.351,6,0,0,0,1,3,3
69,1,6,smt3x2oq,3,0,no,0.0,4,2,0,0,2,4,3
70,1,6,mwzdrrir,3,0,yes,9.658,6,0,0,0,1,2,3
71,1,6,tr7j8p5u,3,0,yes,15.049,6,0,0,0,2,3,3
72,1,6,udqawmho,3,0,no,0.0,1,5,0,0,2,4,3
73,1,6,bimhco1q,3,0,no,0.0,4,2,0,0,2,2,3
74,1,6,j8kl8j9f,3,0,yes,17.339,6,0,0,0,1,2,3
75,1,6,emxl0g1y,4,2,yes,26.793,6,0,0,0,2,3,3
76,1,6,8uz9cuas,4,2,yes,12.079,0,6,0,0,2,4,4
77,1,6,s3mxv2mt,4,2,yes,17.039,6,0,0,0,2,4,4
78,1,6,wdt8k9cv,4,2,yes,13.491,0,6,0,0,2,4,4
79,1,6,73kurx3q,4,2,yes,5.764,6,0,0,0,2,4,3
80,1,6,hq3wc0gn,4,2,yes,18.857,6,0,0,0,2,4,3
81,1,6,esajw93t,4,2,yes,22.047,6,0,0,0,2,4,4
82,1,6,bb45y9nn,4,2,yes,8.968,6,0,0,0,2,4,4
83,1,6,bn8iy0dx,4,1,yes,14.502,6,0,0,0,1,2,4
84,1,6,q32n8r51,4,1,no,0.0,4,2,0,0,2,4,3
85,1,6,xoaxn8b5,4,1,yes,23.297,6,0,0,0,1,2,4
86,1,6,6nye0rx2,4,1,yes,11.974,0,6,0,0,2,4,4
87,1,6,1smtcyle,4,1,yes,9.795,6,0,0,0,2,4,4
88,1,6,6vas0mym,4,1,no,0.0,1,5,0,0,2,4,3
89,1,6,xros1iar,4,1,no,0.0,4,2,0,0,1,2,4
90,1,6,1gdrtht3,4,1,yes,6.443,6,0,0,0,1,3,3
91,1,6,7c1iwaxh,4,0,yes,7.808,0,6,0,0,1,2,3
92,1,6,lefz84r6,4,0,no,0.0,0,5,0,0,2,4,3
93,1,6,kr4oy9m9,4,0,yes,9.484,6,0,0,0,1,3,3
94,1,6,smt3x2oq,4,0,no,0.0,1,5,0,0,2,4,3
95,1,6,mwzdrrir,4,0,yes,8.022,0,6,0,0,1,2,3
96,1,6,tr7j8p5u,4,0,no,0.0,3,3,0,0,2,3,3
97,1,6,udqawmho,4,0,no,0.0,3,3,0,0,2,4,3
98,1,6,bimhco1q,4,0,no,0.0,4,2,0,0,2,2,3
99,1,6,j8kl8j9f,4,0,yes,13.385,0,6,0,0,1,2,3
100,1,6,emxl0g1y,5,2,yes,22.321,6,0,0,0,2,3,3
101,1,6,8uz9cuas,5,2,yes,5.883,0,6,0,0,2,4,4
102,1,6,s3mxv2mt,5,2,yes,6.806,6,0,0,0,2,4,4
103,1,6,wdt8k9cv,5,2,yes,9.465,0,6,0,0,2,4,4
104,1,6,73kurx3q,5,2,yes,7.332,0,6,0,0,2,4,3
105,1,6,hq3wc0gn,5,2,yes,11.865,6,0,0,0,2,4,3
106,1,6,esajw93t,5,2,yes,8.065,6,0,0,0,2,4,4
107,1,6,bb45y9nn,5,2,yes,12.461,6,0,0,0,2,4,4
108,1,6,bn8iy0dx,5,1,yes,16.647,6,0,0,0,1,2,4
109,1,6,q32n8r51,5,1,yes,19.153,0,6,0,0,2,4,3
110,1,6,xoaxn8b5,5,1,yes,19.284,6,0,0,0,1,2,4
111,1,6,6nye0rx2,5,1,yes,7.003,6,0,0,0,2,4,4
112,1,6,1smtcyle,5,1,yes,25.199,0,6,0,0,2,4,4
113,1,6,6vas0mym,5,1,yes,10.802,0,6,0,0,2,4,3
114,1,6,xros1iar,5,1,yes,21.787,6,0,0,0,1,2,4
115,1,6,1gdrtht3,5,1,yes,10.768,0,6,0,0,1,3,3
