,RoundCode,SessionCode,maxRed,maxBlue,maxGreen,maxOrange,maxPurple,maxYellow,maxMagenta,maxBlack,maxCyan,maxPink,maxSilver,maxTeal,maxBeige,maxOlive,maxBrown,totalClicks,Time1move,Time2move,Time3move,Time4move,Time5move,Time6move
149,7,q32n8r51,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,7,3.505,27.492,15.698,4.974,7.195,9.353
150,8,q32n8r51,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,10,4.211,20.18,8.992,2.778,9.725,4.149
151,9,q32n8r51,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.723,22.795,22.857,5.985,6.053,17.166
152,10,q32n8r51,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,2.121,11.422,5.929,5.575,3.771,8.262
153,11,q32n8r51,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,12,3.609,22.219,5.181,2.537,4.395,2.359
154,12,q32n8r51,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,2.706,9.725,5.782,2.136,5.328,3.038
155,13,q32n8r51,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.791,7.771,6.183,1.488,4.764,3.824
156,14,q32n8r51,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,10,3.376,25.303,8.768,1.952,5.911,5.773
157,15,q32n8r51,0,0,0,0,2,1,0,0,0,0,4,1,0,0,0,14,3.246,,6.415,3.932,4.633,6.785
158,16,q32n8r51,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,2.776,10.244,9.037,4.079,4.966,7.706
159,17,q32n8r51,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2.356,24.766,6.558,2.306,6.527,7.629
160,2,xoaxn8b5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,32,12.527,9.259,3.445,15.655,7.718,19.719
161,3,xoaxn8b5,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,21,3.266,3.999,2.622,5.909,3.868,16.073
162,4,xoaxn8b5,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,23,2.721,2.737,2.884,14.913,3.353,10.135
163,5,xoaxn8b5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.958,2.305,3.677,19.115,3.161,6.379
164,6,xoaxn8b5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,4.345,3.775,2.989,9.527,3.559,7.801
165,7,xoaxn8b5,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,8,2.721,2.273,3.36,8.587,3.56,5.211
166,8,xoaxn8b5,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,12,2.537,2.321,4.262,7.295,2.738,4.025
167,9,xoaxn8b5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5.245,3.255,7.75,5.761,2.485,7.58
168,10,xoaxn8b5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,2.738,2.275,2.623,4.157,4.264,5.166
169,11,xoaxn8b5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,14,2.291,2.888,7.83,8.336,3.593,4.797
170,12,xoaxn8b5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,7,1.673,2.005,2.29,6.263,3.725,3.678
171,13,xoaxn8b5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2.004,2.421,4.092,6.945,2.637,9.468
172,14,xoaxn8b5,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,13,3.138,3.171,2.574,5.226,2.721,4.456
173,15,xoaxn8b5,0,0,0,0,0,5,0,0,0,0,1,5,0,0,0,16,2.268,2.305,2.938,4.674,2.352,3.139
174,16,xoaxn8b5,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,9,2.737,2.189,2.991,8.816,6.613,2.69
175,17,xoaxn8b5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4.739,4.0,2.707,7.431,3.394,3.964
176,2,6nye0rx2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,8,4.025,11.473,4.125,7.518,12.506,11.372
177,3,6nye0rx2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,7,2.753,9.189,3.038,8.169,10.291,7.378
178,4,6nye0rx2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,7,3.376,11.967,3.523,3.292,11.073,8.602
179,5,6nye0rx2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6.212,6.428,3.856,6.991,4.326,6.297
180,6,6nye0rx2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,2.606,6.81,3.285,3.323,6.763,5.591
181,7,6nye0rx2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,12,4.356,8.333,4.071,3.855,4.657,12.01
182,8,6nye0rx2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,2.59,5.913,4.044,4.194,6.26,8.549
183,9,6nye0rx2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2.575,6.183,3.741,7.649,3.925,6.484
184,10,6nye0rx2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3.738,5.875,6.561,3.722,3.708,7.516
185,11,6nye0rx2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,3.355,5.112,2.606,3.872,4.072,3.324
186,12,6nye0rx2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,2.607,4.426,2.306,3.155,2.992,5.298
187,13,6nye0rx2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2.453,3.978,2.59,6.129,3.038,8.67
188,14,6nye0rx2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,2.629,4.633,8.102,4.479,2.814,6.721
189,15,6nye0rx2,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,8,2.791,4.673,3.671,4.326,8.135,4.774
190,16,6nye0rx2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,3.17,4.041,2.747,3.925,2.707,5.476
191,17,6nye0rx2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.604,5.39,3.67,3.285,4.171,5.49
192,2,1smtcyle,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,9.042,3.942,5.931,7.82,12.109,4.612
193,3,1smtcyle,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,7,4.225,2.759,4.021,7.215,14.494,9.869
194,4,1smtcyle,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,8,5.343,2.337,4.494,4.167,9.767,4.094
195,5,1smtcyle,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.783,3.716,13.392,8.649,16.284,4.016
196,6,1smtcyle,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,7,5.391,2.47,6.994,3.404,11.789,4.613
197,7,1smtcyle,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,7,4.408,5.881,3.007,3.876,10.618,4.277
198,8,1smtcyle,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,5.449,4.747,3.356,2.858,5.654,3.321
199,9,1smtcyle,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6.564,4.257,2.569,2.39,15.022,4.711
200,10,1smtcyle,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,3.261,3.439,2.158,3.022,5.564,3.508
201,11,1smtcyle,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3.508,2.052,1.72,3.671,6.015,3.007
